Influenciador,fator
Mês: 1 - Local: RS: Adubos  azotados,acumulado bimestre
Mês: 2 - Local: MG: Pastas químicas de madeira,acumulado ano
Mês: 3 - Local: MS: Pastas químicas de madeira,acumulado trimestre
"Mês: 4 - Local: BA: Soja, mesmo triturada",acumulado ano
Mês: 5 - Local: AP,chuvas
Mês: 5 - Local: GO,chuvas
Mês: 10 - Local: BA,chuvas
Mês: 8 - Local: MT: Adubos  potássicos,acumulado bimestre
"Mês: 9 - Local: MS: Soja, mesmo triturada",acumulado bimestre
Mês: 9 - Local: TO,chuvas
"Mês: 11 - Local: PI: Soja, mesmo triturada",variação acumlulado ano
Mês: 12 - Local: RS: Pastas químicas de madeira,acumulado trimestre
